,ENTITY1,RELATION,ENTITY2
0,Paul, held,boy eyes
1,Paul, mouthed strange,Jessica words
2,Paul, knew,Paul
3,Paul, own,age
4,Paul, sensed own,tensions
5,Paul, sensed,dawn
6,Jessica, flicked,dust
7,Paul, exposed almost invisible,Mother hesitation
8,Mohiam, blamed,Mother
9,Jessica, had,Jessica
10,Jessica, took,hand
11,Paul, found,Paul
12,Paul, put,hand hand
13,Paul, swung,attention
14,Paul, heard,truth
15,Paul, knew,Paul
16,Paul, clenched left,hand
17,Paul, had,difficulty
18,Paul, thought,Paul
19,Paul, felt right,arm
20,Paul, jerked,hand
21,Paul, felt left,hand
22,Bene Gesserit, sift,people
23,Paul, lifted right,hand
24,Jessica, saw,Paul
25,Reverend Mother, returned,Mother
26,Reverend Mother, returned,Mother attention
27,Paul, felt,Paul
28,Paul, shook,head
29,Padishah Emperor, believes,Baron
30,Leto, signs,art
31,Baron, means,word
32,Emperor, orders,Caladan
33,Rautha, moved,Baron suspensor chair
34,Baron, turned,attention
35,Feyd, remembers,Leto
36,Baron, rubbed protruding,lips
37,Jessica, tore,attention
38,Jessica, knew,Jessica
39,Jessica, lifted,chin
40,Emperor, smell,profits
41,Jessica, closed,Gesserit eyes
42,Reverend Mother, heaved,Mother
43,Jessica, shook,tears
44,Paul, heard,mother
45,Paul, closed,eyes
46,Paul, opened,eyes
47,Mother, happen,today
48,Paul, closed Again,eyes
49,Paul, opened,Usul eyes
50,Paul, closed,eyes
51,Paul, opened,eyes
52,Haderach, wanted,Paul
53,Paul, waited,Haderach
54,Paul, felt,astonishment
55,Jessica, think,Paul mother
56,Jessica, said,purpose
57,Jessica, own,safety
58,Hawat, cleared,throat
59,Paul, did,chair
60,Paul, wet,lips
61,Jessica, closed,fingers
62,Paul, closed,eyes
63,Paul, spoke,voice
64,Paul, opened,eyes
65,father, said,Atreides
66,Emperor, ordered,Mother
67,spy, said,Hawat
68,Paul, gripped ’s right,arm
69,Hawat, set,Hawat
70,Paul, liked,Gurney Halleck
71,Paul, left,ear
72,Paul, let,manner
73,Halleck, activated own,shield
74,Paul, asked,Paul
75,Paul, moved left,hand
76,Paul, directed,retreat
77,Paul, flung,Paul
78,Paul, deactivated,shield
79,Paul, touched,forehead
80,Paul, activated,shield
81,Paul, recalled younger,sister
82,Paul, left,hand entretisser
83,Yueh, heard,Dr. Yueh
84,Paul, raised,head
85,Paul, felt,excitement
86,Paul, joined,boy
87,Yueh, drummed,fingers
88,Yueh, smoothed drooping,mustache
89,Yueh, picked,table
90,Yueh, watched,Paul
91,Paul, wet,lips
92,Yueh, closed,Paul eyes
93,Paul, opened,eyes
94,Paul, slipped,book
95,Atreides, abiding,love
96,PAUL, WATCHED,Atreides father
97,Duke, forced,Duke
98,Duke, noted,son
99,Paul, clenched,fists
100,Hawat, loved,ones
101,Duke, permitted,Duke
102,Harkonnens, mean,spice production
103,Salusa Secundus, says,S.S.
104,Duke, shifted,position
105,Paul, rubbed,chin
106,Paul, closed,eyes
107,Leto, tightened,Jessica breast
108,Paul, favored,beauty
109,Yueh, caught,breath
110,Hawat, meet,reserves
111,Harkonnen, cleared,throat
112,Duke, left,arm
113,Jessica, forced,Jessica
114,Jessica, asked,Jessica
115,Trada, cik perakri,buscakri miseces
116,Jessica, took,sheath
117,Mapes, returned,knife
118,Mapes, composed,Mapes
119,Jessica, stood,Dr. Yueh
120,Caladan, folded,name arms
121,Yueh, found,fence
122,Yueh, saw,envy
123,Wellington, blinked back,tears
124,Harkonnens, killed,Jessica
125,Gesserit, opened,eyes
126,Jessica, studied,Gesserit
127,Hawat, sent,advance agents
128,Duke, found,Duke
129,Duke, followed,concubine
130,Jessica, dropped,arms
131,Paul, heard,mother
132,Paul, recognized,seeker
133,Paul, held,Paul
134,Paul, had only,wits
135,Yueh, held,seeker
136,Paul, left,hand
137,Jessica, returned,attention
138,Jessica, lifted,rail hand
139,Jessica, thought detected,loathing
140,Jessica, asked,Jessica
141,Jessica, caught,door
142,Jessica, recognized,Galach words
143,Jessica, put,weight
144,Jessica, felt,change
145,Jessica, asked,Jessica
146,Jessica, sent,Jessica
147,Jessica, guessed,inspection
148,Water, shocked,Jessica
149,Count, married,Gesserit Lady
150,Jessica, seeking,fingers
151,H, loaded,son
152,Duke, involves,defection
153,Paul, saw,mother
154,Jessica, grabbed,Paul shoulder
155,Jessica, reminded,Paul
156,Paul, spoke,matter
157,Hawat, gave,place Hawat
158,Paul, directed,attention
159,Jessica, rubbed,forehead
160,Jessica, asked,Jessica
161,Duke Leto, blinded,Leto
162,Duke, doubted,Duke
163,Duke, found,Duke
164,Harkonnens, took,loot
165,Duke, watched,Halleck
166,Halleck, dropped,Duke bag
167,Gurney, have,experience
168,Hawat, sees,assassins
169,Leto, shook,head
170,Duke, saw,Muad‘Dib
171,Duke, knew,Duke
172,Leto, lifted,hand
173,Leto, matched,son
174,Paul, saw,movement
175,Duncan Idaho, says,people
176,Emperor, gets,wind
177,Paul, held,Paul
178,Leto, cleared,throat
179,Leto, said,shields
180,Duke, shook,head
181,Duke, closed,eyes
182,Duke, opened,eyes
183,Duke, shook,head
184,Crown, gets,Crown
185,Duke, pursed,lips
186,Leto, waved,Duke
187,Paul, studied,Idaho
188,Leto, addressed,Leto
189,Idaho, makes,farewell
190,Fremen, match,Leto
191,Thufir, heard,Hawat footsteps
192,Paul, speaks,truth
193,Kynes, has,arbiter authority
194,Paul, allowed,Paul
195,Duke, folded,hands
196,Duke, found,Thufir Hawat
197,Duke, pursed,lips
198,Hawat, shook,Duke head
199,Duke, saw,evidence
200,Leto, felt,anger
201,Leto, shook,head
202,Duke, closed,eyes
203,Duke, opened,eyes
204,Leto, turned,Leto
205,Lord, think,Paul
206,Duke, accepted,capsule
207,Paul, found,Paul
208,Houses, hope,Houses
209,Duke, faced,son
210,Duke, cut,Paul
211,father, came,time
212,Duke, prided,Duke
213,Kynes, knew,man
214,Kynes, shook,man head
215,Stilgar, send ’s,Idaho head
216,Kynes, told,Kynes
217,Leto, gave,Halleck Kynes
218,Duke, lifted,arms
219,Duke, twisted,chin
220,Duke, moved,shoulders
221,Kynes, rubbed,Paul cheek
222,Leto, fed,power
223,Fremen, inhibits,perspiration
224,Kynes, wore,shield belts
225,Harkonnens, discouraged,investigation
226,Halleck, snapped,Duke attention
227,Paul, had,Kynes
228,Halleck, bent ear,Paul
229,Paul, felt,sense
230,Duke, turned,attention
231,Kynes, swung,Duke gaze
232,Duke, left,hand
233,Halleck, had,Halleck
234,Duke, banked,Kynes craft
235,Duke, lose,sight
236,Duke, opened,door
237,Duke, shut,door
238,Duke, studied,instruments
239,Duke, banked,craft
240,Duke, shared,father
241,Duke, fly,ship
242,Duke, brought,craft
243,Paul, sensed,half
244,Duke, risked own,life
245,Paul, saw,father
246,Paul, knew mood,Paul
247,Paul, saw,father
248,Leto, approached ’s,Jessica group
249,Leto, returned,attention
250,Duke, imply,criticism
251,Harkonnens, used,Bewt
252,Leto, held,anger
253,Paul, passed,father
254,Hawat, led,Fremen
255,Jessica, asked,Jessica
256,Leto, lifted,water
257,Duke, sipped,water
258,Jessica, lowered,gaze
259,Duke, allowed,voice
260,Duke, lifted,water
261,Jessica, found,Jessica
262,Jessica, guests ’,actions
263,Jessica, caught,companion
264,Jessica, trained,awareness
265,Jessica, asked,Jessica
266,Jessica, masked,emotion
267,Jessica, told,Jessica
268,Paul, addressed,Paul
269,Kynes, shook,banker head
270,Jessica, thought,banker
271,Jessica, turned,attention
272,Duke, sensed,Kynes
273,Jessica, had,Duke
274,Duke, regretted,words
275,Jessica, marked,Chuckles
276,Duke, passed,gaze
277,Jessica, addressed,Jessica
278,Paul, leaned,baliset
279,house guard, says,guard
280,Jessica, clenched right,hand
281,Paul, returned,attention
282,Gurney Halleck, had,Halleck
283,Gurney Halleck, had,Halleck eyes
284,Jessica, saw,banker ease banker
285,Jessica, asked,Jessica
286,Jessica, saw,terror
287,Jessica, shifted,attention
288,Jessica, opened,servant
289,Duke, sends,reassurances
290,Jessica, focused,mind
291,Jessica, running,feet
292,Duke, lifted,face
293,Jessica, unlaced slap,desert boots
294,Idaho, swung unsteady,head
295,Yueh, put,head kit
296,wanna, feel,bedder
297,Jessica, shook,head
298,Idaho, jerked,Yueh
299,Jessica, found,Jessica
300,Idaho, shook,head
301,Yueh, patted,Jessica arm
302,Jessica, sitting,room
303,Jessica, dimmed,lamps
304,Jessica, prepared,Jessica
305,Jessica, watched,Hawat
306,Jessica, smelled,blood
307,Lady, puts,servant
308,Lady, speaks,riddles
309,Jessica, forced to calmness,Jessica
310,Duke, did,puppet
311,Hawat, lowered,Paul head
312,Lady, lifted,Lady
313,Jessica, lowered,gaze
314,Victim, felt,tiredness
315,Leto, shook,head
316,Leto, put left,hand
317,Leto, turned,man
318,Leto, asked,smuggler
319,Leto, stilled sudden,constriction
320,Leto, touched,housekeeper shoulder
321,Leto, felt,pain
322,Leto, found,Leto
323,Duke, found,Duke
324,Narcal, opened,mouth hand
325,Yueh, lowered,Yueh
326,Leto, found,Leto
327,Leto, held,muscle
328,Harkonnen, touched ’s,Leto jaw
329,Hawat, forced,Hawat
330,Hawat, asked,Hawat
331,Hawat, forced,Hawat
332,White, sensed,line
333,Jessica, closed,eyes
334,Jessica, opened,eyes
335,Vries, suggested,effeminacy
336,Baron, thinks,Baron
337,Jessica, corrected,Jessica
338,Piter, wants,power
339,Jessica, asked,Jessica
340,Baron, kept,attention
341,Jessica, followed,Baron
342,Scarface, reads,lips
343,Jessica, thought,Piter
344,Scarface, holstered,Voice lasgun
345,Jessica, saw,companion
346,Paul, contained,despair
347,Gesserit, kept,Gesserit
348,Paul, allowed,Paul
349,Jessica, felt,Jessica
350,Jessica, noted,Paul bonds
351,Kinet, closed,bearer door
352,Czigo, tapped,bearer companion
353,Kinet, watched ’s,Czigo lips
354,Kinet, swiveled,bearer seat
355,Jessica, tested,seat
356,Jessica, felt,roughness
357,Jessica, left,arm
358,Jessica, twisted bound,feet
359,Jessica, brought bound,legs
360,Jessica, saw,Paul
361,Paul, closed,eyes
362,Jessica, turned,head
363,Paul, cleared,throat
364,Czigo, shifted,Paul
365,Kinet, studied,Jessica
366,Jessica, twisted,neck
367,Jessica, pitched,voice
368,Jessica, saw,tones
369,Jessica, held,Jessica
370,Jessica, made infinitely worth,words
371,Paul, clamped,lips
372,Jessica, removed,pilot
373,Yueh, lowered,gaze
374,Yueh, saw,Yueh
375,Yueh, straightened,Yueh
376,Paul, removed,hand
377,Paul, pulled,cloak
378,Duke, pictured fighting,men
379,Piter, touched,finger
380,Piter, mocking,salute
381,Arrakis, hate,Baron
382,Baron, shifted,attention
383,Yueh, allowed,Yueh
384,Baron, whipped,attention
385,Baron, knew,Baron
386,Yueh, caught,Duke
387,Leto, cracked,lips
388,Leto, burning,cheeks
389,Leto, remembered,part
390,Leto, felt,Leto
391,Leto, tingling,body
392,Leto, knew,corpse
393,Leto, insists,Leto
394,Leto, felt,fear
395,Yueh, sent,eyes
396,Leto, heard,voice
397,Baron, saw,Umman Kudu
398,Baron, saw,Baron
399,Leto, found,Leto
400,Leto, remembered,sunrise
401,Baron, pushed,Baron
402,Duke, clamped,mouth
403,Leto, opened,mouth
404,Leto, sensed,memories
405,Leto, knew,Leto
406,Baron, asked,Baron
407,fool ’d, said,fool
408,Baron, pushed,Baron
409,Nefud, knew,Baron
410,colonel bashar, planted,bashar
411,bashar, acknowledge,bashar
412,Baron, took,poison
413,Baron, raised,gaze
414,Harkonnens, held ’s,Yueh wife
415,Reverend Mother Gaius Helen Mohiam, pervaded,Paul
416,Paul, remembered ’s,Hawat words
417,Jessica, found,Jessica
418,Jessica, rested,hand
419,Jessica, weighed,Arrakis words
420,Paul, left,hand
421,Jessica, lifted,tab
422,Jessica, has,time
423,Paul, found,Paul
424,Paul, said,Paul
425,Sobs, shook,Jessica
426,Paul, heard,mother
427,Paul, focused prescient,awareness
428,Paul, felt,Paul
429,Paul, saw,people
430,Paul, knew,names
431,Paul, saw own,death
432,Paul, saw,People
433,Guildsmen, recognized own,strangeness
434,Guildsmen Guildsmen, recognized own,Guildsmen strangeness
435,Guildsmen, felt,birth hands
436,Guildsmen, onflowing,mind
437,Paul, heard,madness
438,Jessica, placed,hands
439,Jessica, knew,pregnancy
440,Jessica, own,Bene Gesserit training
441,Jessica, told,Jessica
442,Jessica, found increasingly difficult to subdue,Protectiva Jessica terror
443,Paul, recognized own terrible,purpose
444,Jessica, pressed,hands
445,Paul, saw,Jessica
446,Jessica, cleared,throat
447,Muad‘Dib, closed,eyes
448,Paul, found,stillsuit
449,Jessica, heard,Paul
450,Jessica, own,stillsuit
451,Jessica, asked,Jessica
452,Jessica, heard,Paul
453,Paul, finds,Paul
454,Jessica, watched,Paul
455,Jessica, left,hand
456,Jessica, asked,Jessica
457,Jessica, trained,senses
458,Paul, collapsing,Birds tent
459,Fremen, lifted,finger
460,Hawat, threw back,Fremen hood
461,Fremen, removed,Hawat hand
462,Hawat, told,Hawat
463,Hawat, lowered,arm
464,Hawat, forced,Hawat
465,Liet, wishes,man
466,Fremen, wear,Harkonnen clothing
467,Emperor, known,Sardaukar
468,Fremen, took ’s,Hawat arm
469,Hawat, saw blue,bat
470,Hawat, discerned,movement
471,Hawat, had,time
472,Paul, grabbed,mother
473,Idaho, had ’s,Paul arm
474,Idaho, helped,Jessica
475,Paul, felt touched briefly,Paul
476,Paul, allowed to guide,Idaho Paul
477,Paul, followed,mother
478,Paul, returned,attention
479,Fremen, alter,ego
480,Jessica, allowed,Jessica
481,Jessica, saw,Paul
482,Jessica, passed,hand
483,Imperium, sends here only trained,hatchetmen
484,Arrakis, has own,way
485,Sardaukar, picking,Houses
486,Arrakis, has own,plan
487,Paul, pulled,mother
488,Paul, herded,cabinets
489,Jessica, heard,Paul
490,Mother, heard,Paul
491,Jessica, found ’s,Paul hand
492,Paul, followed,Jessica
493,Paul, drew,leader
494,Paul, released,Fremen hand
495,Harkonnens, taught,hand
496,Jessica, considered,direction
497,Paul, knew,reluctance cause
498,Atreides, joined,Jessica
499,Atreides, took,reliance
500,Paul, fastened,safety
501,Paul, closed,door
502,Jessica, let,hands
503,Paul, returned,attention
504,Jessica, saw,Paul
505,Paul, kept,eyes
506,Jessica, told,Jessica
507,Jessica, felt,teeth
508,Jessica, heard ’s,Paul voice
509,Baron, shifted gross,body
510,Hawat, said,h.
511,Hawat, think,Jessica
512,Nefud, shook,head
513,Baron, lowered,eyes
514,Rabban, kept,Baron eyes
515,Baron, felt,anger
516,Baron, lowered,arm
517,Fremen, defeating,Sardaukar
518,Sardaukar, think,lieutenants
519,Baron, caressed,bulges
520,Baron, deactivated,doorfield
521,PAUL, felt,dust fronts
522,Paul, turned,pillar craft
523,Jessica, felt,heart
524,Jessica, forced to calmness,Jessica
525,Paul, sensed,Paul
526,Paul, found,Paul
527,Paul, thought,part
528,Paul, felt,Paul
529,Paul, felt,wind
530,Paul, corrected,Fremen
531,Paul, felt,brakes cup
532,Jessica, heard ’s panting,Paul progress
533,Paul, shifted,pack
534,Paul, took,mother
535,Paul, pushed,Paul
536,Paul, settled,shoulders
537,Jessica, heard,Paul
538,Jessica, supported,Jessica
539,Jessica, felt,Paul
540,Jessica, settled,Jessica
541,Jessica, swallowed,capsules
542,Jessica, closed,eyes
543,Paul, pulled,hood
544,Paul, rubbed,nose
545,Fremen, do,way
546,Paul, found,manual
547,Paul, shook,head
548,Paul, moved,slantwise
549,Paul, followed,piece
550,Paul, told,Paul
551,Paul, pulled,face
552,Paul, lowered,face
553,Jessica, had,eyes
554,Jessica, edged,voice
555,Jessica, held,Jessica
556,Paul, ignored,Jessica
557,Paul, removed,sash
558,Paul, waded,part way
559,Paul, aimed,foam
560,Paul, asked,Paul
561,Paul, had,head
562,Jessica, left,arm
563,Paul, worked,hand
